credit_history,savings_balance,employment_duration,age,other_credit,housing,existing_loans_count,job,default
Critical,Unknown,< 1 year,67,none,own,Two,skilled,No default
Good,< 100 DM,1 - 4 years,22,none,own,One,skilled,Default
Critical,< 100 DM,4 - 7 years,49,none,own,One,unskilled,No default
Good,< 100 DM,4 - 7 years,45,none,other,One,skilled,No default
Poor,< 100 DM,1 - 4 years,53,none,other,Two,skilled,Default
Good,Unknown,1 - 4 years,35,none,other,One,unskilled,No default
Good,500 - 1000 DM,< 1 year,53,none,own,One,skilled,No default
Good,< 100 DM,1 - 4 years,35,none,rent,One,management,No default
Good,> 1000 DM,4 - 7 years,61,none,own,One,unskilled,No default
Critical,< 100 DM,unknown,28,none,own,Two,management,Default
Good,< 100 DM,< 1 year,25,none,rent,One,skilled,Default
Good,< 100 DM,< 1 year,24,none,rent,One,skilled,Default
Good,< 100 DM,1 - 4 years,22,none,own,One,skilled,No default
Critical,< 100 DM,< 1 year,60,none,own,Two,unskilled,Default
Good,< 100 DM,1 - 4 years,28,none,rent,One,skilled,No default
Good,100 - 500 DM,1 - 4 years,32,none,own,One,unskilled,Default
Critical,Unknown,< 1 year,53,none,own,Two,skilled,No default
Perfect,Unknown,< 1 year,25,bank,own,Three,skilled,No default
Good,< 100 DM,< 1 year,44,none,other,One,management,Default
Good,500 - 1000 DM,< 1 year,31,none,own,One,skilled,No default
Critical,< 100 DM,1 - 4 years,48,none,own,Three,skilled,No default
Good,500 - 1000 DM,1 - 4 years,44,none,rent,One,skilled,No default
Critical,< 100 DM,< 1 year,48,none,rent,Two,unskilled,No default
Critical,100 - 500 DM,< 1 year,44,none,own,One,skilled,No default
Critical,Unknown,1 - 4 years,26,none,own,Two,skilled,No default
Good,< 100 DM,1 - 4 years,36,bank,own,One,unskilled,No default
Perfect,< 100 DM,< 1 year,39,none,own,One,unskilled,No default
Very good,> 1000 DM,1 - 4 years,42,none,rent,Two,skilled,No default
Good,< 100 DM,1 - 4 years,34,none,own,One,skilled,No default
Poor,< 100 DM,< 1 year,63,none,own,Two,skilled,Default
Good,> 1000 DM,< 1 year,36,bank,own,One,skilled,No default
Good,< 100 DM,1 - 4 years,27,store,own,One,skilled,No default
Good,100 - 500 DM,1 - 4 years,30,none,own,Two,skilled,No default
Critical,Unknown,< 1 year,57,none,rent,One,unskilled,No default
Good,< 100 DM,< 1 year,33,bank,own,One,management,No default
Critical,< 100 DM,< 1 year,25,none,own,Two,unskilled,Default
Critical,< 100 DM,1 - 4 years,31,bank,other,One,skilled,No default
Good,< 100 DM,1 - 4 years,37,store,own,One,skilled,Default
Good,< 100 DM,1 - 4 years,37,none,own,One,skilled,No default
Good,< 100 DM,1 - 4 years,24,none,own,One,skilled,No default
Good,500 - 1000 DM,< 1 year,30,bank,own,One,management,No default
Good,500 - 1000 DM,1 - 4 years,26,none,own,One,skilled,No default
Poor,< 100 DM,1 - 4 years,44,none,own,One,unskilled,No default
Critical,100 - 500 DM,4 - 7 years,24,none,rent,Two,skilled,No default
Critical,< 100 DM,< 1 year,58,store,other,Two,unskilled,Default
Critical,< 100 DM,< 1 year,35,none,own,Two,management,No default
Good,500 - 1000 DM,< 1 year,39,none,own,One,skilled,No default
Good,500 - 1000 DM,unknown,23,none,rent,One,99,No default
Critical,< 100 DM,1 - 4 years,39,none,own,Two,unskilled,No default
